2025-06-10 07:24:55,673 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0006s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:25:10,672 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0005s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:25:28,614 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0005s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:25:43,615 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0005s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:26:01,516 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0005s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:26:16,516 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0006s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:26:34,450 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0005s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:26:49,449 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0007s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:27:07,423 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0007s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:27:22,421 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0006s | User-Agent: Prometheus/3.4.1 | User: -
2025-06-10 07:27:40,369 - INFO - metrics_logger - 172.18.0.3 | GET /users/custom-metrics | Status: 200 | Time: 0.0006s | User-Agent: Prometheus/3.4.1 | User: -
