2025-06-11 14:43:04,137 - WARNING - api_logger - 172.18.0.1 | PUT /users/1/description | Status: 401 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:05,241 - WARNING - api_logger - 172.18.0.1 | GET /users/dashboard | Status: 404 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:06,349 - WARNING - api_logger - 172.18.0.1 | GET /users/admin-panel | Status: 401 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:10,426 - INFO - api_logger - 172.18.0.1 | POST /users/login-rate | Status: 200 | Time: 0.0013s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:11,533 - INFO - api_logger - 172.18.0.1 | GET /users/hello | Status: 200 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:12,638 - WARNING - api_logger - 172.18.0.1 | PUT /users/1/description | Status: 401 | Time: 0.0005s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:13,743 - WARNING - api_logger - 172.18.0.1 | GET /users/dashboard | Status: 404 | Time: 0.0005s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:14,847 - WARNING - api_logger - 172.18.0.1 | GET /users/dashboard | Status: 404 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:15,952 - INFO - api_logger - 172.18.0.1 | GET /users/hello | Status: 200 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:17,056 - INFO - api_logger - 172.18.0.1 | GET /users/hello | Status: 200 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:18,161 - WARNING - api_logger - 172.18.0.1 | GET /users/admin-panel | Status: 401 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:19,265 - WARNING - api_logger - 172.18.0.1 | GET /users/profile | Status: 401 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:20,370 - WARNING - api_logger - 172.18.0.1 | GET /users/admin-panel | Status: 401 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:21,474 - WARNING - api_logger - 172.18.0.1 | GET /users/1 | Status: 401 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:22,580 - WARNING - api_logger - 172.18.0.1 | PUT /users/1/description | Status: 401 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:23,685 - WARNING - api_logger - 172.18.0.1 | GET /users/1 | Status: 401 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:24,789 - WARNING - api_logger - 172.18.0.1 | GET /users/dashboard | Status: 404 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:25,948 - INFO - api_logger - 172.18.0.1 | POST /users/login | Status: 200 | Time: 0.0547s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:27,053 - WARNING - api_logger - 172.18.0.1 | GET /users/admin-panel | Status: 401 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:28,158 - WARNING - api_logger - 172.18.0.1 | PUT /users/1/description | Status: 401 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:29,262 - INFO - api_logger - 172.18.0.1 | GET /users/hello | Status: 200 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:30,367 - WARNING - api_logger - 172.18.0.1 | GET /users/1 | Status: 401 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:31,471 - WARNING - api_logger - 172.18.0.1 | PUT /users/1/description | Status: 401 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:32,576 - WARNING - api_logger - 172.18.0.1 | PUT /users/1/description | Status: 401 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:33,680 - WARNING - api_logger - 172.18.0.1 | GET /users/admin-panel | Status: 401 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:34,838 - INFO - api_logger - 172.18.0.1 | POST /users/login | Status: 200 | Time: 0.0538s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:35,943 - WARNING - api_logger - 172.18.0.1 | GET /users/profile | Status: 401 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:37,047 - INFO - api_logger - 172.18.0.1 | GET /users/hello | Status: 200 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:38,156 - WARNING - api_logger - 172.18.0.1 | POST /users/login-rate | Status: 429 | Time: 0.0047s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:40,427 - INFO - api_logger - 172.18.0.1 | POST /users/login | Status: 200 | Time: 0.0517s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:41,532 - INFO - api_logger - 172.18.0.1 | GET /users/hello | Status: 200 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:42,636 - WARNING - api_logger - 172.18.0.1 | GET /users/dashboard | Status: 404 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:46,725 - WARNING - api_logger - 172.18.0.1 | GET /users/dashboard | Status: 404 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:47,830 - INFO - api_logger - 172.18.0.1 | GET /users | Status: 308 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:48,834 - INFO - api_logger - 172.18.0.1 | GET /users/ | Status: 200 | Time: 0.001s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:51,050 - WARNING - api_logger - 172.18.0.1 | GET /users/profile | Status: 401 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:52,154 - WARNING - api_logger - 172.18.0.1 | GET /users/profile | Status: 401 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:53,260 - INFO - api_logger - 172.18.0.1 | POST /users/search | Status: 200 | Time: 0.0011s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:54,365 - INFO - api_logger - 172.18.0.1 | POST /users/login-rate | Status: 200 | Time: 0.0008s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:55,470 - WARNING - api_logger - 172.18.0.1 | GET /users/1 | Status: 401 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:56,575 - WARNING - api_logger - 172.18.0.1 | GET /users/admin-panel | Status: 401 | Time: 0.0003s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:57,681 - WARNING - api_logger - 172.18.0.1 | GET /users/1 | Status: 401 | Time: 0.0024s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:58,786 - INFO - api_logger - 172.18.0.1 | POST /users/search | Status: 200 | Time: 0.001s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:43:59,890 - WARNING - api_logger - 172.18.0.1 | PUT /users/1/description | Status: 401 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:44:00,996 - INFO - api_logger - 172.18.0.1 | GET /users/hello | Status: 200 | Time: 0.0005s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:44:03,214 - INFO - api_logger - 172.18.0.1 | GET /users | Status: 308 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:44:04,218 - INFO - api_logger - 172.18.0.1 | GET /users/ | Status: 200 | Time: 0.0008s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:44:05,322 - WARNING - api_logger - 172.18.0.1 | PUT /users/1/description | Status: 401 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:44:06,427 - WARNING - api_logger - 172.18.0.1 | GET /users/dashboard | Status: 404 | Time: 0.0005s | User-Agent: python-requests/2.25.1 | User: -
2025-06-11 14:44:07,532 - WARNING - api_logger - 172.18.0.1 | GET /users/1 | Status: 401 | Time: 0.0004s | User-Agent: python-requests/2.25.1 | User: -
