2025-05-23 01:05:06,741 - INFO - 127.0.0.1 | GET / | Status: 200 | Time: 0.0126s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 01:05:06,886 - INFO - 127.0.0.1 | GET /swaggerui/droid-sans.css | Status: 200 | Time: 0.0076s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 01:05:06,888 - INFO - 127.0.0.1 | GET /swaggerui/swagger-ui-bundle.js | Status: 200 | Time: 0.0005s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 01:05:06,889 - INFO - 127.0.0.1 | GET /swaggerui/swagger-ui.css | Status: 200 | Time: 0.0005s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 01:05:06,965 - INFO - 127.0.0.1 | GET /swaggerui/swagger-ui-standalone-preset.js | Status: 200 | Time: 0.0003s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 01:05:08,075 - INFO - 127.0.0.1 | GET /swagger.json | Status: 200 | Time: 0.0021s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 01:05:08,083 - INFO - 127.0.0.1 | GET /swaggerui/favicon-32x32.png | Status: 200 | Time: 0.0003s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 01:53:55,481 - INFO - 127.0.0.1 | GET / | Status: 200 | Time: 0.0132s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 01:53:55,601 - INFO - 127.0.0.1 | GET /swaggerui/swagger-ui.css | Status: 200 | Time: 0.009s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 01:53:55,602 - INFO - 127.0.0.1 | GET /swaggerui/droid-sans.css | Status: 200 | Time: 0.0108s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 01:53:55,680 - INFO - 127.0.0.1 | GET /swaggerui/swagger-ui-bundle.js | Status: 200 | Time: 0.0004s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 01:53:55,742 - INFO - 127.0.0.1 | GET /swaggerui/swagger-ui-standalone-preset.js | Status: 200 | Time: 0.0004s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 01:53:57,221 - INFO - 127.0.0.1 | GET /swagger.json | Status: 200 | Time: 0.0018s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 01:53:57,224 - INFO - 127.0.0.1 | GET /swaggerui/favicon-32x32.png | Status: 200 | Time: 0.0003s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 01:57:03,547 - INFO - 127.0.0.1 | GET / | Status: 200 | Time: 0.0005s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 01:57:04,665 - INFO - 127.0.0.1 | GET / | Status: 200 | Time: 0.0006s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 01:57:05,696 - INFO - 127.0.0.1 | GET /favicon.ico | Status: 404 | Time: 0.0003s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 01:57:06,727 - INFO - 127.0.0.1 | GET /swaggerui/favicon-32x32.png | Status: 200 | Time: 0.0004s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 01:57:07,764 - INFO - 127.0.0.1 | GET /swaggerui/favicon-16x16.png | Status: 200 | Time: 0.0005s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 01:57:09,211 - INFO - 127.0.0.1 | GET / | Status: 200 | Time: 0.0006s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 01:57:09,866 - INFO - 127.0.0.1 | GET / | Status: 200 | Time: 0.0005s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 01:57:10,913 - INFO - 127.0.0.1 | GET / | Status: 200 | Time: 0.0005s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 02:37:08,097 - INFO - 127.0.0.1 | GET / | Status: 200 | Time: 0.0115s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 02:37:08,215 - INFO - 127.0.0.1 | GET /swaggerui/droid-sans.css | Status: 304 | Time: 0.0074s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 02:37:08,219 - INFO - 127.0.0.1 | GET /swaggerui/swagger-ui.css | Status: 304 | Time: 0.0071s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 02:37:08,290 - INFO - 127.0.0.1 | GET /swaggerui/swagger-ui-bundle.js | Status: 304 | Time: 0.0003s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 02:37:08,293 - INFO - 127.0.0.1 | GET /swaggerui/swagger-ui-standalone-preset.js | Status: 304 | Time: 0.0003s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 02:37:08,480 - INFO - 127.0.0.1 | GET /swagger.json | Status: 200 | Time: 0.0022s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 02:37:08,481 - INFO - 127.0.0.1 | GET /swaggerui/favicon-32x32.png | Status: 304 | Time: 0.0004s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 02:38:17,203 - INFO - 127.0.0.1 | GET / | Status: 200 | Time: 0.0005s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 02:38:17,305 - INFO - 127.0.0.1 | GET /swaggerui/droid-sans.css | Status: 304 | Time: 0.0005s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 02:38:17,308 - INFO - 127.0.0.1 | GET /swaggerui/swagger-ui.css | Status: 304 | Time: 0.0003s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 02:38:17,387 - INFO - 127.0.0.1 | GET /swaggerui/swagger-ui-bundle.js | Status: 304 | Time: 0.0004s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 02:38:17,389 - INFO - 127.0.0.1 | GET /swaggerui/swagger-ui-standalone-preset.js | Status: 304 | Time: 0.0005s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 02:38:17,538 - INFO - 127.0.0.1 | GET /swagger.json | Status: 200 | Time: 0.0008s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-23 02:38:17,539 - INFO - 127.0.0.1 | GET /swaggerui/favicon-32x32.png | Status: 304 | Time: 0.0004s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-29 15:40:11,123 - INFO - 127.0.0.1 | GET / | Status: 200 | Time: 0.0401s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-29 15:40:11,164 - INFO - 127.0.0.1 | GET /swaggerui/droid-sans.css | Status: 200 | Time: 0.0152s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-29 15:40:11,307 - INFO - 127.0.0.1 | GET /swaggerui/swagger-ui.css | Status: 200 | Time: 0.0003s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-29 15:40:11,434 - INFO - 127.0.0.1 | GET /swaggerui/swagger-ui-standalone-preset.js | Status: 200 | Time: 0.0003s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-29 15:40:11,439 - INFO - 127.0.0.1 | GET /swaggerui/swagger-ui-bundle.js | Status: 200 | Time: 0.0039s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-29 15:40:11,873 - INFO - 127.0.0.1 | GET /swagger.json | Status: 200 | Time: 0.001s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-29 15:40:11,886 - INFO - 127.0.0.1 | GET /swaggerui/favicon-32x32.png | Status: 200 | Time: 0.0003s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-29 15:40:20,396 - INFO - 172.19.128.1 | GET / | Status: 200 | Time: 0.0003s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-29 15:40:20,417 - INFO - 172.19.128.1 | GET /swaggerui/droid-sans.css | Status: 200 | Time: 0.0003s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-29 15:40:20,420 - INFO - 172.19.128.1 | GET /swaggerui/swagger-ui-standalone-preset.js | Status: 200 | Time: 0.0004s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-29 15:40:20,421 - INFO - 172.19.128.1 | GET /swaggerui/swagger-ui.css | Status: 200 | Time: 0.0016s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-29 15:40:20,422 - INFO - 172.19.128.1 | GET /swaggerui/swagger-ui-bundle.js | Status: 200 | Time: 0.0032s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-29 15:40:20,659 - INFO - 172.19.128.1 | GET /swagger.json | Status: 200 | Time: 0.0002s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-29 15:40:20,717 - INFO - 172.19.128.1 | GET /swaggerui/favicon-32x32.png | Status: 200 | Time: 0.0002s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-29 16:02:24,498 - INFO - 127.0.0.1 | GET / | Status: 200 | Time: 0.0426s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-29 16:02:24,545 - INFO - 127.0.0.1 | GET /swaggerui/droid-sans.css | Status: 304 | Time: 0.0237s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-29 16:02:24,688 - INFO - 127.0.0.1 | GET /swaggerui/swagger-ui.css | Status: 304 | Time: 0.0004s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-29 16:02:24,817 - INFO - 127.0.0.1 | GET /swaggerui/swagger-ui-standalone-preset.js | Status: 304 | Time: 0.0003s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-29 16:02:24,820 - INFO - 127.0.0.1 | GET /swaggerui/swagger-ui-bundle.js | Status: 304 | Time: 0.0003s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-29 16:02:25,249 - INFO - 127.0.0.1 | GET /swagger.json | Status: 200 | Time: 0.0026s | User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | User: -
2025-05-29 16:03:07,297 - INFO - 127.0.0.1 | GET /users/admin-panel | Status: 404 | Time: 0.0198s | User-Agent: PostmanRuntime/7.39.1 | User: -
2025-05-29 16:03:22,914 - INFO - 127.0.0.1 | GET /users/login | Status: 405 | Time: 0.0018s | User-Agent: PostmanRuntime/7.39.1 | User: -
2025-05-29 16:03:26,212 - INFO - 127.0.0.1 | POST /users/login | Status: 200 | Time: 0.0023s | User-Agent: PostmanRuntime/7.39.1 | User: -
2025-05-29 16:03:31,461 - INFO - 127.0.0.1 | POST /users/login | Status: 400 | Time: 0.0002s | User-Agent: PostmanRuntime/7.39.1 | User: -
2025-05-29 16:03:40,341 - INFO - 127.0.0.1 | POST /users/login | Status: 401 | Time: 0.035s | User-Agent: PostmanRuntime/7.39.1 | User: -
2025-05-29 16:17:35,798 - INFO - 127.0.0.1 | POST /users/login | Status: 401 | Time: 0.0038s | User-Agent: PostmanRuntime/7.39.1 | User: -
2025-05-29 16:17:46,429 - INFO - 127.0.0.1 | POST /users/login | Status: 200 | Time: 0.001s | User-Agent: PostmanRuntime/7.39.1 | User: -
