2025-06-26 16:13:51,582 - INFO - metrics_logger - 172.18.0.2 | GET /users/custom-metrics | Status: 200 | Time: 0.037s | User-Agent: python-requests/2.32.4 | User: -
2025-06-26 16:13:56,153 - INFO - metrics_logger - 172.18.0.2 | GET /users/custom-metrics | Status: 200 | Time: 0.0419s | User-Agent: python-requests/2.32.4 | User: -
2025-06-26 16:14:01,464 - INFO - metrics_logger - 172.18.0.2 | GET /users/custom-metrics | Status: 200 | Time: 0.0398s | User-Agent: python-requests/2.32.4 | User: -
2025-06-26 16:14:04,938 - INFO - metrics_logger - 172.18.0.2 | GET /users/custom-metrics | Status: 200 | Time: 0.0585s | User-Agent: python-requests/2.32.4 | User: -
2025-06-26 16:14:17,124 - INFO - metrics_logger - 172.18.0.2 | GET /users/custom-metrics | Status: 200 | Time: 0.0383s | User-Agent: python-requests/2.32.4 | User: -
2025-06-26 16:14:26,673 - INFO - metrics_logger - 172.18.0.2 | GET /users/custom-metrics | Status: 200 | Time: 0.0342s | User-Agent: python-requests/2.32.4 | User: -
2025-06-26 16:14:39,845 - INFO - metrics_logger - 172.18.0.2 | GET /users/custom-metrics | Status: 200 | Time: 0.0281s | User-Agent: python-requests/2.32.4 | User: -
2025-06-26 16:14:42,163 - INFO - metrics_logger - 172.18.0.2 | GET /users/custom-metrics | Status: 200 | Time: 0.0288s | User-Agent: python-requests/2.32.4 | User: -
2025-06-26 16:14:53,590 - INFO - metrics_logger - 172.18.0.2 | GET /users/custom-metrics | Status: 200 | Time: 0.0319s | User-Agent: python-requests/2.32.4 | User: -
2025-06-26 16:14:54,762 - INFO - metrics_logger - 172.18.0.2 | GET /users/custom-metrics | Status: 200 | Time: 0.0409s | User-Agent: python-requests/2.32.4 | User: -
2025-06-26 16:15:13,825 - INFO - metrics_logger - 172.18.0.2 | GET /users/custom-metrics | Status: 200 | Time: 0.0393s | User-Agent: python-requests/2.32.4 | User: -
2025-06-26 16:15:16,143 - INFO - metrics_logger - 172.18.0.2 | GET /users/custom-metrics | Status: 200 | Time: 0.0425s | User-Agent: python-requests/2.32.4 | User: -
2025-06-26 16:15:21,875 - INFO - metrics_logger - 172.18.0.2 | GET /users/custom-metrics | Status: 200 | Time: 0.0458s | User-Agent: python-requests/2.32.4 | User: -
2025-06-26 16:15:29,208 - INFO - metrics_logger - 172.18.0.2 | GET /users/custom-metrics | Status: 200 | Time: 0.0319s | User-Agent: python-requests/2.32.4 | User: -
2025-06-26 16:15:55,871 - INFO - metrics_logger - 172.18.0.2 | GET /users/custom-metrics | Status: 200 | Time: 0.0433s | User-Agent: python-requests/2.32.4 | User: -
2025-06-26 16:16:05,938 - INFO - metrics_logger - 172.18.0.2 | GET /users/custom-metrics | Status: 200 | Time: 0.0363s | User-Agent: python-requests/2.32.4 | User: -
2025-06-26 16:16:12,149 - INFO - metrics_logger - 172.18.0.2 | GET /users/custom-metrics | Status: 200 | Time: 0.0332s | User-Agent: python-requests/2.32.4 | User: -
2025-06-26 16:16:29,262 - INFO - metrics_logger - 172.18.0.2 | GET /users/custom-metrics | Status: 200 | Time: 0.0409s | User-Agent: python-requests/2.32.4 | User: -
2025-06-26 16:16:46,642 - INFO - metrics_logger - 172.18.0.2 | GET /users/custom-metrics | Status: 200 | Time: 0.0306s | User-Agent: python-requests/2.32.4 | User: -
2025-06-26 16:16:50,063 - INFO - metrics_logger - 172.18.0.2 | GET /users/custom-metrics | Status: 200 | Time: 0.041s | User-Agent: python-requests/2.32.4 | User: -
2025-06-26 16:17:24,588 - INFO - metrics_logger - 172.18.0.2 | GET /users/custom-metrics | Status: 200 | Time: 0.0358s | User-Agent: python-requests/2.32.4 | User: -
2025-06-26 16:17:29,135 - INFO - metrics_logger - 172.18.0.2 | GET /users/custom-metrics | Status: 200 | Time: 0.0386s | User-Agent: python-requests/2.32.4 | User: -
